post_id,title,category,score,num_comments,author,collected_at
47541746,Show HN: Forkrun – NUMA-aware shell parallelizer (50×–400× faster than parallel),worldnews,149,41,jkool702,2026-04-03 20:50:02.971727
47577761,Fedware: Government apps that spy harder than the apps they ban,worldnews,680,278,speckx,2026-04-03 20:50:02.972439
47613668,Show HN: Abject: the first self-aware object runtime,worldnews,9,2,mempko,2026-04-03 20:50:02.974747
47578572,Turning a MacBook into a touchscreen with $1 of hardware (2018),worldnews,407,230,HughParry,2026-04-03 20:50:02.974815
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,85,116,vrganj,2026-04-03 20:50:02.975403
47557299,Hardware Image Compression,worldnews,73,15,luu,2026-04-03 20:50:02.975869
47612035,UK Government unveils rules to end subscription traps,worldnews,25,6,_____k,2026-04-03 20:50:02.975907
47540833,Hold on to Your Hardware,worldnews,661,533,LucidLynx,2026-04-03 20:50:02.976755
47609564,Steam on Linux Use Skyrocketed Above 5% in March,sports,751,351,hkmaxpro,2026-04-03 20:50:04.980381
47620867,Proton Workspace: An encrypted suite for team collaboration,sports,25,3,teekert,2026-04-03 20:50:05.010375
47562342,Digitizing photos from the 1998 Game Boy Camera,sports,68,15,rockbruno,2026-04-03 20:50:05.010654
47575403,CodingFont: A game to help you pick a coding font,sports,491,236,nvahalik,2026-04-03 20:50:05.011347
47607775,"""Special 301"" Comments on Nintendo Game Piracy in Asia and Latin America (1994)",sports,7,0,Lammy,2026-04-03 20:50:05.012355
47624879,Switzerland hosts 'CERN of semiconductor research',science,29,6,teleforce,2026-04-03 20:50:07.014293
47604155,SpaceX files to go public,science,392,570,nutjob2,2026-04-03 20:50:07.014573
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,39,6,ruevs,2026-04-03 20:50:07.014871
47578086,Vulnerability research is cooked,science,255,168,pedro84,2026-04-03 20:50:07.014946
47588349,GitHub Monaspace Case Study,science,146,49,homebrewer,2026-04-03 20:50:07.015041
47586614,Open source CAD in the browser (Solvespace),science,369,125,phkahler,2026-04-03 20:50:07.015441
47572878,How-to guide: Commissioning a Sensor Physics R&D Lab,science,41,4,MagneLauritzen,2026-04-03 20:50:07.015463
47548164,"Researchers find 3,500-year-old loom that reveals textile revolution",science,132,20,geox,2026-04-03 20:50:07.015661
47620442,NASA: Artemis II Real time tracking with multiple views,science,10,0,ColinWright,2026-04-03 20:50:07.015801
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-03 20:50:07.015854
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,92,16,AustinDev,2026-04-03 20:50:07.016059
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-03 20:50:07.016425
47625952,Show HN: I built a frontpage for personal blogs,entertainment,197,81,ramkarthikk,2026-04-03 20:50:09.019023
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,25,22,luca-ctx,2026-04-03 20:50:09.019106
47621438,Show HN: Made a little Artemis II tracker,entertainment,127,51,codingmoh,2026-04-03 20:50:09.019552
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,entertainment,83,49,sthottingal,2026-04-03 20:50:09.019571
47625385,"H.264 Streaming Fees: What Changed, Who's Affected, and What It Means",entertainment,61,34,phantomathkg,2026-04-03 20:50:09.019593
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,34,21,Realman78,2026-04-03 20:50:09.020029
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,875,417,novaRom,2026-04-03 20:50:09.020116
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,145,111,kasparnoor,2026-04-03 20:50:09.020149
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,103,63,rdme,2026-04-03 20:50:09.020325
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,18,3,symisc_devel,2026-04-03 20:50:09.020351
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,64,4,nemoniac,2026-04-03 20:50:09.020406
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,333,44,hauntsaninja,2026-04-03 20:50:09.020619
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,200,57,tjgreen,2026-04-03 20:50:09.020945
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,138,92,afshinmeh,2026-04-03 20:50:09.021005
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,84,45,coolwulf,2026-04-03 20:50:09.021423
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,68,25,jeditobe,2026-04-03 20:50:09.021601
47566143,My MacBook keyboard is broken and it's insanely expensive to fix,entertainment,381,535,TobiasBerg,2026-04-03 20:50:09.021830
47555035,"Show HN: Loreline, narrative language transpiled via Haxe: C++/C#/JS/Java/Py/Lua",entertainment,73,21,jeremyfa,2026-04-03 20:50:09.022175
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,28,0,mooreds,2026-04-03 20:50:09.022353
47588324,Show HN: Sundial – a new way to look at a weather forecast,entertainment,61,26,izaidi,2026-04-03 20:50:09.022407
47609372,"Show HN: Semantic atlas of 188 constitutions in 3D (30k articles, embeddings)",entertainment,10,4,joaoli131,2026-04-03 20:50:09.022441
47575061,"Show HN: QWERTY mini Pro – Why a 2-row, 16-key keyboard works better",entertainment,8,7,QWERTYmini,2026-04-03 20:50:09.022983
47558094,Show HN: QuickBEAM – run JavaScript as supervised Erlang/OTP processes,entertainment,111,16,dannote,2026-04-03 20:50:09.023405
47603534,A new way to measure poverty shows the US falling behind Europe,entertainment,97,82,_DeadFred_,2026-04-03 20:50:09.023615
